Sample Date,Time,Chamber,Canopy Position,Starch,Soluble Sugars,TNC
20/02/2014,12:00,C11,Lower,121.61,105.99,227.6
20/02/2014,12:00,C11,Upper,93.86,71.04,164.9
20/02/2014,12:00,C12,Lower,176.82,72.52,249.35
20/02/2014,12:00,C12,Upper,59.51,79.53,139.04
20/02/2014,14:00,C01,Lower,82.94,94.67,177.62
20/02/2014,14:00,C01,Upper,82.36,78.34,160.71
20/02/2014,14:00,C02,Lower,77.48,77.45,154.93
20/02/2014,14:00,C02,Upper,54.05,69.3,123.35
20/02/2014,14:00,C03,Lower,70.09,62.25,132.34
20/02/2014,14:00,C03,Upper,69.85,54.98,124.83
20/02/2014,14:00,C04,Lower,155.32,64.07,219.39
20/02/2014,14:00,C04,Upper,65.08,92.58,157.67
20/02/2014,14:00,C05,Lower,77.81,78.3,156.11
20/02/2014,14:00,C05,Upper,65.44,86.78,152.22
20/02/2014,14:00,C06,Lower,84.66,92.3,176.96
20/02/2014,14:00,C06,Upper,54.45,100.26,154.71
20/02/2014,14:00,C07,Lower,158.17,91.16,249.33
20/02/2014,14:00,C07,Upper,86.48,67.97,154.45
20/02/2014,14:00,C08,Lower,86.52,66.16,152.67
20/02/2014,14:00,C08,Upper,87.4,87.11,174.51
20/02/2014,14:00,C09,Lower,56.41,108.55,164.95
20/02/2014,14:00,C09,Upper,69.68,89.48,159.16
20/02/2014,14:00,C10,Lower,139.99,109.63,249.63
20/02/2014,14:00,C10,Upper,86.47,97.92,184.38
20/02/2014,14:00,C11,Lower,102.14,116.74,218.88
20/02/2014,14:00,C11,Upper,110.93,82.8,193.73
20/02/2014,14:00,C12,Lower,163.39,82.83,246.22
20/02/2014,14:00,C12,Upper,68.21,73.4,141.62
20/02/2014,16:00,C01,Lower,112.55,98.02,210.57
20/02/2014,16:00,C01,Upper,84.11,83.07,167.18
20/02/2014,16:00,C02,Lower,110.19,78.77,188.96
20/02/2014,16:00,C02,Upper,60.61,70.77,131.38
20/02/2014,16:00,C03,Lower,81.81,86.2,168.01
20/02/2014,16:00,C03,Upper,73.33,68.09,141.42
20/02/2014,16:00,C04,Lower,169.48,91.05,260.53
20/02/2014,16:00,C04,Upper,69.56,102.7,172.26
20/02/2014,16:00,C05,Lower,71.54,71.8,143.34
20/02/2014,16:00,C05,Upper,65.93,90.16,156.08
20/02/2014,16:00,C06,Lower,94.04,89.74,183.78
20/02/2014,16:00,C06,Upper,66.25,98.24,164.49
20/02/2014,16:00,C07,Lower,65.83,73.81,139.65
20/02/2014,16:00,C07,Upper,135.7,114.49,250.19
20/02/2014,16:00,C08,Lower,90.97,80.28,171.25
20/02/2014,16:00,C08,Upper,71.52,116.42,187.94
20/02/2014,16:00,C09,Lower,101.38,102.1,203.47
20/02/2014,16:00,C09,Upper,86.67,95.77,182.44
20/02/2014,16:00,C10,Lower,144.92,98.95,243.87
20/02/2014,16:00,C10,Upper,89.06,102.87,191.93
20/02/2014,16:00,C11,Lower,129.59,117.76,247.34
20/02/2014,16:00,C11,Upper,92.09,74.35,166.43
20/02/2014,16:00,C12,Lower,152.66,90.44,243.11
20/02/2014,16:00,C12,Upper,64.81,74.79,139.6
20/02/2014,18:00,C01,Lower,108.2,84.34,192.54
20/02/2014,18:00,C01,Upper,106.9,108.46,215.36
20/02/2014,18:00,C02,Lower,159.23,86.89,246.12
