"chamber","branch","br.height","br.diameter","leafsize"
"C12",48,279,7.08,27.6
"C12",48,279,7.08,23.9
"C12",48,279,7.08,34.6
"C12",48,279,7.08,42
"C12",48,279,7.08,26.7
"C12",48,279,7.08,47.1
"C12",48,279,7.08,49.3
"C12",48,279,7.08,16.7
"C12",48,279,7.08,44.4
"C12",48,279,7.08,31.3
"C12",55,325,4.24,10.1
"C12",55,325,4.24,39.3
"C12",55,325,4.24,41.2
"C12",55,325,4.24,40.7
"C12",55,325,4.24,34.4
"C12",55,325,4.24,46.4
"C12",55,325,4.24,54.8
"C12",55,325,4.24,44.3
"C12",55,325,4.24,21.4
"C12",55,325,4.24,46.2
"C12",62,370,4.6,11.6
"C12",62,370,4.6,43
"C12",62,370,4.6,13
"C12",62,370,4.6,38.3
"C12",62,370,4.6,39.8
"C12",62,370,4.6,39.3
"C12",62,370,4.6,28.6
"C12",62,370,4.6,25.8
"C12",62,370,4.6,36.3
"C12",67,408,3.25,15.6
"C12",67,408,3.25,17.8
"C12",67,408,3.25,7.4
"C12",67,408,3.25,11.5
"C12",67,408,3.25,14.4
"C12",67,408,3.25,31.2
