id,date,machine,user,Obs,HHMMSS,FTime,EBal?,chamber,leaf,T_treatment,Water_treatment,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,leaf mass,leaf area,lma,Amass
11,2013-06-17,hie3,mark,71,12:57:27,10597.5,0,C01,3,ambient,control,32.97954551,0.150992737,1353.427909,2.187375823,1.496414167,24.83999062,6,1.420000017,1,2.840000033,24.39033699,24.83999062,25.06866646,1800.637573,1756.488525,13.87162209,16.45113373,45.46297836,53.91709518,500.4182129,1799.172485,445.4403992,100.4828415,-6.173173904,-0.72130537,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834030355,0.002187376,297.9899906,297.540337,287.8675912,2.20745963,3.14947083,31.34336951,14.89223578,24.6151638,3.107451619,0.143370249,1.653056663,1.454394956,0.09026142,135.996282,0.770530459,53.78088056,1740.811629,0.010188747,0.5273,48.47,108.7889416,303.1516349
12,2013-06-17,hie3,mark,72,12:57:34,10604.5,0,C01,3,ambient,control,33.00191993,0.15057332,1352.26323,2.183539244,1.49771925,24.84387398,6,1.420000017,1,2.840000033,24.39172173,24.84387398,25.06900597,1800.733398,1756.566772,13.8707037,16.44562531,45.45560837,53.89387131,500.4337769,1799.087646,444.1156921,100.4815369,-6.173173904,-0.72130537,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834056295,0.002183539,297.993874,297.5417217,287.854017,2.208953533,3.150200955,31.35104273,14.90541742,24.61779785,3.10794106,0.142992057,1.652481705,1.455459355,0.090021586,135.8774876,0.769833092,53.7447551,1740.87924,0.010188416,0.5273,48.47,108.7889416,303.3573031
13,2013-06-17,hie3,mark,73,12:57:43,10613.5,0,C01,3,ambient,control,33.13617569,0.149901296,1349.002167,2.177216741,1.499770028,24.84622955,6,1.420000017,1,2.840000033,24.39465332,24.84622955,25.06897926,1800.695679,1756.385864,13.86212635,16.42940331,45.4201355,53.83197784,500.4788513,1799.073364,444.1743469,100.4828873,-6.173173904,-0.72130537,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834131419,0.002177217,297.9962296,297.5446533,287.8517318,2.212299336,3.150643908,31.35502964,14.92562633,24.62044144,3.108432342,0.142385864,1.65087388,1.457558462,0.089637183,135.5516327,0.768055696,53.67781229,1740.634513,0.010218558,0.5273,48.47,108.7889416,304.5913969
14,2013-06-17,hie3,mark,74,12:57:53,10622.5,0,C01,3,ambient,control,33.23587822,0.148977902,1345.620988,2.1673586,1.501759642,24.84949112,6,1.420000017,1,2.840000033,24.39778519,24.84949112,25.06905937,1800.741577,1756.325806,13.85976028,16.41587067,45.40341187,53.77701569,500.3961182,1799.071411,458.7655945,100.4818878,-6.173173904,-0.72130537,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83399353,0.002167359,297.9994911,297.5477852,287.8514193,2.217417876,3.151257317,31.36144618,14.94557552,24.62363815,3.109026508,0.141552482,1.649497675,1.459528833,0.089108752,135.2105371,0.766156816,53.61123194,1740.527061,0.010237223,0.5273,48.47,108.7889416,305.5078736
15,2013-06-17,hie3,mark,75,12:58:02,10632,0,C01,3,ambient,control,33.16054722,0.147723193,1343.434659,2.157721501,1.507140146,24.87059402,6,1.420000017,1,2.840000033,24.40099525,24.87059402,25.06880379,1800.736084,1756.431152,13.85696697,16.40172005,45.38588715,53.7207489,500.4016724,1798.943237,475.8812256,100.482666,-6.173173904,-0.72130537,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834002787,0.002157722,298.020594,297.5509953,287.8309115,2.219727059,3.155228704,31.4007264,14.99900636,24.63579464,3.11128691,0.140419256,1.648088558,1.463198353,0.088390268,134.9918961,0.764866108,53.4835024,1740.668216,0.010188858,0.5273,48.47,108.7889416,304.8154226
16,2013-06-17,hie3,mark,76,13:06:28,11137,0,C02,1,elevated,control,43.96161264,0.30039207,1447.674206,3.925507161,1.414612422,25.53912163,6,1.420000017,1,2.840000033,24.99646759,25.53912163,25.06569099,1800.276245,1739.373047,13.97971153,18.59934998,44.18261337,58.78289032,500.3632202,1799.761108,240.4471588,100.4719467,-5.990678787,-0.827464581,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8339387,0.003925507,298.6891216,298.1464676,287.9617709,1.286034172,3.283325321,32.67902562,14.07967565,25.26779461,3.230798812,0.271658271,1.8687129,1.362085913,0.172153584,145.4506457,0.832296561,60.01121481,1718.475802,0.015351917,0.4086,37.67,108.4682771,405.294652
17,2013-06-17,hie3,mark,77,13:06:36,11145,0,C02,1,elevated,control,43.9075831,0.297210596,1445.475042,3.891357955,1.415954496,25.52670479,6,1.420000017,1,2.840000033,24.99712944,25.52670479,25.06733894,1800.143188,1739.375854,13.98190498,18.56154251,44.1886673,58.66223907,500.3620911,1799.731201,239.976532,100.4739151,-5.990678787,-0.827464581,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833936818,0.003891358,298.6767048,298.1471294,287.9569858,1.305605349,3.280905342,32.65429976,14.09275725,25.26191711,3.229669154,0.269053692,1.864950846,1.364718308,0.170480238,145.2325366,0.831030877,59.90441829,1718.504292,0.015305509,0.4086,37.67,108.4682771,404.7965383
18,2013-06-17,hie3,mark,78,13:06:45,11154.5,0,C02,1,elevated,control,43.90444074,0.293218061,1442.081394,3.856793508,1.420683873,25.53321075,6,1.420000017,1,2.840000033,24.9995842,25.53321075,25.06443024,1799.960693,1739.269287,13.98804092,18.52719116,44.20134735,58.54478455,500.3585815,1799.759888,236.8853302,100.4733658,-5.990678787,-0.827464581,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833930969,0.003856794,298.6832108,298.1495842,287.9615756,1.323140936,3.282173128,32.66709642,14.13990526,25.26639748,3.230530251,0.265777637,1.861489255,1.369040997,0.168376129,144.8907714,0.829130603,59.73523803,1718.399219,0.015262124,0.4086,37.67,108.4682771,404.767568
19,2013-06-17,hie3,mark,79,13:06:55,11164,0,C02,1,elevated,control,44.03732247,0.2887007,1437.395052,3.819351382,1.42685154,25.5451107,6,1.420000017,1,2.840000033,25.00060272,25.5451107,25.06433868,1800.009521,1739.24292,13.99414063,18.48896027,44.21778488,58.42022324,500.4074707,1799.631836,236.7137451,100.4730148,-5.990678787,-0.827464581,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834012451,0.003819351,298.6951107,298.1506027,287.9410873,1.340944288,3.284493119,32.69030122,14.20134095,25.27285671,3.231772029,0.262060858,1.857641579,1.37413045,0.165989812,144.4194144,0.826448701,59.53096429,1718.309686,0.015256762,0.4086,37.67,108.4682771,405.9926425
20,2013-06-17,hie3,mark,80,13:07:05,11174.5,0,C02,1,elevated,control,44.22921507,0.284235927,1432.226342,3.781392833,1.432839162,25.55585861,6,1.420000017,1,2.840000033,25.00190163,25.55585861,25.06511307,1800.097778,1739.17981,13.99969769,18.45007515,44.23229218,58.29333878,500.4014893,1799.685913,232.8154755,100.473877,-5.990678787,-0.827464581,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834002482,0.003781393,298.7058586,298.1519016,287.9497397,1.35955812,3.286589742,32.71088806,14.26081291,25.27888012,3.232930394,0.258376784,1.85375058,1.379179814,0.163625391,143.9013332,0.823506767,59.32940826,1718.155359,0.015272735,0.4086,37.67,108.4682771,407.7617552
