Measurement,DateTime,Days_since_transplanting,T_treatment,Water_treatment,chamber,Tree_number,Stem_number,Plant_height,Crown_width_NS,Crown_width_EW,1st_Order_Branches,2nd_Order_Branches,Total_Leaf_Number,0,15,30,65,95,130,160,190,220,250,280,310,340,370,400,430,460,490,520,550,580,610,640,670,700,730,760,790,820,850,880,910,940,Plant_Health,Insect_Damage,Comments
40,2014-05-27,441,ambient,drydown,C11,51,1,429,,,,,,,91.50,82.00,69.80,65.00,61.40,61.50,58.20,54.00,51.00,48.80,48.50,46.00,48.50,44.80,,,,,,,,,,,,,,,,,,,,,
29,2013-12-24,287,ambient,control,C11,51,1.1,579,,,14,,,,,,,,,,,,,,,,,,13.10,11.05,9.45,6.60,4.55,,,,,,,,,,,,,,,,
30,2014-01-07,301,ambient,control,C11,51,1.1,626,,,19,,,,,,,,,,,,,,,,,,16.20,14.70,13.85,10.05,7.75,5.05,3.75,,,,,,,,,,,,,,Dia at Fork = 23.15mm
31,2014-01-21,315,ambient,control,C11,51,1.1,693,,,26,,,,,,,,,,,,,,,,,,20.00,19.00,18.50,14.00,12.45,8.95,6.85,5.30,,,,,,,,,,,,,Dia at Fork = 27.25
32,2014-02-04,329,ambient,control,C11,51,1.1,717.2,,,30,,,,,,,,,,,,,,,,,,23.00,22.00,23.00,19.00,16.00,11.90,9.40,6.80,4.95,,,,,,,,,,,,Dia at Fork = 30
33,2014-02-18,343,ambient,drydown,C11,51,1.1,710,,,31,,,,,,,,,,,,,,,,,,25.00,24.10,24.50,20.55,18.05,13.50,10.45,7.65,5.85,3.50,,,,,,,,,,,Dia at Fork = 33
34,2014-03-04,357,ambient,drydown,C11,51,1.1,737,,,35,,,,,,,,,,,,,,,,,,26.90,26.80,27.50,24.20,21.85,16.40,13.30,10.20,8.60,5.95,3.50,,,,,,,,,,Dia at Fork = 36mm
35,2014-03-19,372,ambient,drydown,C11,51,1.1,780,,,39,,,,,,,,,,,,,,,,,,28.30,28.50,30.80,27.90,25.80,19.90,16.10,13.15,12.40,9.40,5.70,4.05,,,,,,,,,Dia at Fork = 38.8
36,2014-04-01,385,ambient,drydown,C11,51,1.1,792,,,39,,,,,,,,,,,,,,,,,,29.80,30.00,32.10,30.30,28.00,22.40,18.60,15.65,14.80,12.60,8.70,5.40,,,,,,,,,Dia at Fork = 40.3
37,2014-04-16,400,ambient,drydown,C11,51,1.1,825,,,45,,,,,,,,,,,,,,,,,,31.10,31.90,34.10,33.00,30.60,25.50,21.90,18.49,18.00,16.30,12.15,8.60,,,,,,,,,Dia at Fork = 42.8
38,2014-04-29,413,ambient,drydown,C11,51,1.1,840,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dia at Fork = 42.3
39,2014-05-13,427,ambient,drydown,C11,51,1.1,871,,,49,,,,,,,,,,,,,,,,,,33.00,33.90,36.10,36.00,33.50,28.30,24.75,22.05,20.50,19.90,16.00,11.60,,,,,,,,,Dia at Fork = 45.0
40,2014-05-27,441,ambient,drydown,C11,51,1.1,874,,,,,,,,,,,,,,,,,,,,,34.00,35.00,37.10,37.70,35.00,30.40,27.90,23.00,22.27,21.57,17.51,12.94,9.50,6.68,6.35,,,,,,
29,2013-12-24,287,ambient,control,C11,51,1.2,575,,,16,,,,,,,,,,,,,,,,,,13.15,11.20,9.15,6.65,4.25,,,,,,,,,,,,,,,,
30,2014-01-07,301,ambient,control,C11,51,1.2,626,,,23,,,,,,,,,,,,,,,,,,16.50,14.15,12.70,10.60,7.75,5.75,4.30,,,,,,,,,,,,,,
31,2014-01-21,315,ambient,control,C11,51,1.2,671,,,28,,,,,,,,,,,,,,,,,,19.00,17.00,15.50,13.65,12.35,9.60,7.70,5.55,,,,,,,,,,,,,
32,2014-02-04,329,ambient,control,C11,51,1.2,727.2,,,33,,,,,,,,,,,,,,,,,,22.00,19.00,17.50,16.50,15.00,12.85,11.35,7.75,5.70,,,,,,,,,,,,
33,2014-02-18,343,ambient,drydown,C11,51,1.2,750,,,35,,,,,,,,,,,,,,,,,,23.90,19.70,18.00,17.00,16.45,14.60,13.25,9.55,8.00,5.75,3.55,,,,,,,,,,
34,2014-03-04,357,ambient,drydown,C11,51,1.2,761,,,37,,,,,,,,,,,,,,,,,,26.00,21.80,20.25,19.25,19.00,17.20,17.10,13.35,10.95,8.50,5.80,3.60,,,,,,,,,
35,2014-03-19,372,ambient,drydown,C11,51,1.2,816,,,41,,,,,,,,,,,,,,,,,,27.50,23.30,21.95,21.05,20.65,19.65,20.15,16.50,14.25,12.00,8.85,6.05,,,,,,,,,
36,2014-04-01,385,ambient,drydown,C11,51,1.2,837,,,41,,,,,,,,,,,,,,,,,,28.90,24.50,23.30,22.55,23.00,21.75,22.85,18.80,16.50,14.55,11.80,8.55,,,,,,,,,
37,2014-04-16,400,ambient,drydown,C11,51,1.2,905,,,47,,,,,,,,,,,,,,,,,,30.20,26.00,24.90,24.80,24.80,23.80,25.60,21.60,19.10,16.95,14.65,11.80,,,,,,,,,Growing tip into damper
38,2014-04-29,413,ambient,drydown,C11,51,1.2,910,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growing tip into damper and curved. Tree height est.
39,2014-05-13,427,ambient,drydown,C11,51,1.2,934,,,53,,,,,,,,,,,,,,,,,,32.10,27.80,26.20,26.20,26.40,25.90,27.40,24.10,21.85,19.35,17.80,14.75,,,,,,,,,Growing tip into damper and curved. Growing tip of stem 1.2 curving in the damper
40,2014-05-27,441,ambient,drydown,C11,51,1.2,947,,,,,,,,,,,,,,,,,,,,,33.50,28.90,27.50,27.60,27.90,27.10,29.10,25.70,24.00,21.00,18.73,15.64,12.42,7.60,7.44,6.91,4.31,,,,
1,2012-11-29,-103,elevated,control,C12,53,1,38,,,0,,14,,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
2,2012-12-12,-90,elevated,control,C12,53,1,44.5,,,4,,16,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
3,2012-12-24,-78,elevated,control,C12,53,1,78,,,11,,55,,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Leaning
4,2013-01-03,-68,elevated,control,C12,53,1,100,,,11,,74,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Plant supported
5,2013-01-14,-57,elevated,control,C12,53,1,131,,,17,,126,,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Plant supported
6,2013-02-04,-36,elevated,control,C12,53,1,162,,,19,,165,,8.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
7,2013-02-18,-22,elevated,control,C12,53,1,175,,,24,,,,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
8,2013-03-04,-8,elevated,control,C12,53,1,176,,,24,,,,10.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
9,2013-03-19,7,elevated,control,C12,53,1,176,90,90,24,,303,,11.40,10.40,8.95,7.20,5.20,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted
10,2013-04-03,22,elevated,control,C12,53,1,185,90,90,24,,,,13.40,12.15,10.40,8.60,6.50,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted
11,2013-04-16,35,elevated,control,C12,53,1,206,105,100,32,22,487,,16.25,14.80,12.60,10.75,8.70,5.75,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted - supported
12,2013-04-30,49,elevated,control,C12,53,1,224,120,150,36,36,,,19.25,17.45,14.90,13.15,10.90,7.95,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Planted - supported
13,2013-05-14,63,elevated,control,C12,53,1,242,115,110,40,36,,,22.35,20.10,17.45,15.50,13.25,10.50,6.90,4.40,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Suppoted
14,2013-05-28,77,elevated,control,C12,53,1,265,110,110,44,45,,,25.05,22.60,19.25,17.45,15.35,12.70,9.65,5.80,3.85,,,,,,,,,,,,,,,,,,,,,,,,1,1,Suppoted
15,2013-06-13,93,elevated,control,C12,53,1,288,125,110,46,48,,,27.50,25.35,21.45,19.55,17.70,15.00,12.25,8.50,5.20,3.85,,,,,,,,,,,,,,,,,,,,,,,1,1,Supported
16,2013-06-26,106,elevated,control,C12,53,1,309,135,110,50,61,,,30.80,27.90,23.45,21.60,19.70,16.80,13.85,9.85,6.55,4.95,,,,,,,,,,,,,,,,,,,,,,,1,1,Supported - new. Hole is plastic near door
17,2013-07-10,120,elevated,control,C12,53,1,327,140,125,53,66,,,33.15,30.00,25.55,23.50,21.95,18.95,16.35,11.65,9.10,6.90,4.40,,,,,,,,,,,,,,,,,,,,,,1,1,Supported - new. Hole is plastic near door
18,2013-07-23,133,elevated,control,C12,53,1,343,135,125,56,73,,,35.50,32.65,27.55,25.50,24.00,21.20,18.95,13.95,11.15,8.20,5.25,3.55,,,,,,,,,,,,,,,,,,,,,1,1,Supported - new. Hole is plastic near doorAdd extra support
19,2013-08-05,146,elevated,control,C12,53,1,361,130,125,58,77,,,38.00,35.00,29.55,27.55,25.90,23.40,21.65,15.85,13.25,9.80,6.40,4.35,,,,,,,,,,,,,,,,,,,,,1,1,5 branches removed
20,2013-08-20,161,elevated,control,C12,53,1,400,130,110,65,79,,,42.85,38.55,32.35,30.45,28.90,26.35,26.10,19.65,16.45,12.55,9.40,7.00,5.60,,,,,,,,,,,,,,,,,,,,1,1,
21,2013-09-05,177,elevated,control,C12,53,1,430,130,110,68,91,,,45.90,42.05,35.90,33.35,31.55,29.05,29.05,23.55,20.05,16.15,12.95,10.05,7.90,5.70,,,,,,,,,,,,,,,,,,,1,1,
22,2013-09-17,189,elevated,control,C12,53,1,450,135,150,72,,,,,,38.65,35.90,33.90,32.00,32.30,26.50,23.05,18.80,16.20,13.55,10.70,7.65,6.30,,,,,,,,,,,,,,,,,,1,1,46cm floor height - photo taken
23,2013-10-01,203,elevated,control,C12,53,1,494,140,135,79,,,,,,42.00,38.90,36.80,34.90,36.00,30.00,26.30,21.95,19.80,17.40,15.00,11.55,9.60,5.70,3.50,,,,,,,,,,,,,,,,1,1,
24,2013-10-15,217,elevated,control,C12,53,1,517,140,130,83,,,,,,44.00,40.80,38.30,37.10,38.20,33.00,29.50,26.00,23.25,21.40,18.40,15.10,12.85,8.55,5.90,3.05,,,,,,,,,,,,,,,1,1,
25,2013-10-30,232,elevated,control,C12,53,1,555,165,170,89,,,,,,46.30,43.10,40.80,39.50,40.90,36.20,33.10,29.90,28.10,25.05,22.55,19.85,17.25,12.35,9.65,6.45,4.10,,,,,,,,,,,,,,1,1,Possible mites
26,2013-11-12,245,elevated,control,C12,53,1,616,170,190,96,,,,,,49.00,45.80,43.10,41.90,43.20,39.20,36.00,33.10,31.80,30.00,27.80,25.10,21.70,17.40,14.40,10.45,7.55,5.30,3.10,,,,,,,,,,,,1,2,Caterpillars
27,2013-11-26,259,elevated,control,C12,53,1,663,180,190,101,,,,,,51.00,47.90,45.20,43.90,45.30,41.60,39.00,35.40,34.50,32.90,31.10,30.00,25.75,21.45,18.95,14.25,11.40,9.25,5.60,4.40,,,,,,,,,,,1,2,Ants possible caterpillars
28,2013-12-10,273,elevated,control,C12,53,1,698,175,195,106,,,,,,53.60,50.00,47.40,45.90,47.90,44.00,41.10,38.10,37.10,36.50,34.90,34.90,31.60,27.80,24.20,19.45,17.30,15.40,10.35,7.05,4.80,,,,,,,,,,1,1,Support at top
29,2013-12-24,287,elevated,control,C12,53,1,728,170,180,112,,,,,,56.10,52.30,49.80,48.20,50.20,46.80,44.00,41.10,40.00,40.10,39.00,40.20,36.90,33.20,31.00,25.20,21.95,20.10,14.55,10.95,8.05,5.60,3.60,,,,,,,,1,1,PAR =
30,2014-01-07,301,elevated,control,C12,53,1,762,170,180,117,,,,,,58.50,55.00,52.00,50.50,53.00,49.20,46.80,44.00,43.30,44.00,43.20,44.50,40.20,37.20,35.30,29.00,25.75,24.60,18.60,15.25,12.10,10.05,7.85,4.35,,,,,,,1,1,
31,2014-01-21,315,elevated,control,C12,53,1,813.8,150,180,126,,,,,,61.00,57.50,54.00,53.00,55.00,51.50,49.00,46.00,45.00,47.00,46.00,47.00,42.00,39.00,37.00,30.50,27.50,26.50,21.00,19.00,15.50,13.40,10.55,7.90,,,,,,,1,1,
32,2014-02-04,329,elevated,control,C12,53,1,825,146,195,129,,,,,,63.50,59.50,56.00,55.00,57.00,53.00,50.00,47.50,47.00,48.00,47.50,47.50,43.00,39.00,40.00,32.00,29.00,28.00,23.00,22.00,18.00,16.00,12.50,10.70,,,,,,,1,1,Can't reach higher
33,2014-02-18,343,elevated,control,C12,53,1,878,160,260,130,,,,,,65.50,61.50,57.90,56.20,59.70,54.00,51.20,49.00,49.00,50.20,50.50,49.00,43.90,41.10,39.00,32.70,30.60,31.60,26.90,25.90,20.40,18.25,15.65,12.40,,,,,,,1,1,Height 735m Growing tip bent cannot be straightened. From branch 121 growing tip bent over
34,2014-03-04,357,elevated,control,C12,53,1,901,150,260,134,,,,,,67.80,63.20,59.80,58.20,62.00,56.10,53.90,51.30,52.00,53.90,54.20,52.10,46.90,44.00,41.80,35.50,33.80,35.20,30.10,29.80,22.90,21.15,15.65,12.35,,,,,,,1,1,Height 737m Growing tip bent cannot be straightened. From branch 121 growing tip bent over
35,2014-03-19,372,elevated,control,C12,53,1,918,160,250,135,,,,,,69.80,65.30,62.00,60.90,64.80,58.90,56.50,54.90,55.70,57.30,58.80,55.80,50.20,47.40,44.90,39.50,37.80,39.20,33.10,32.00,24.80,23.50,19.85,16.70,,,,,,,1,1,Height @ bend is 737m. From branch 121 growing tip bent over. From branches 118 & 120 2nd order branches growing  straight up
36,2014-04-01,385,elevated,control,C12,53,1,938,160,250,135,,,,,,71.80,67.50,64.00,63.10,66.90,61.10,59.20,57.90,58.50,60.30,62.20,59.10,53.10,49.90,47.90,43.00,40.80,42.20,36.10,34.90,27.20,26.30,22.80,18.95,,,,,,,1,1,Height @ bend is 737m. From branch 121 growing tip bent over. From branches 118 & 120 2nd order branches growing  straight up Branch 120 2nd order height = 812
37,2014-04-16,400,elevated,control,C12,53,1,953,170,250,136,,,,,,73.50,69.10,65.90,65.10,68.90,63.30,62.10,60.30,61.00,62.80,64.80,62.20,56.50,53.90,51.10,46.20,44.10,45.90,40.00,38.70,31.00,30.30,26.00,22.80,,,,,,,1,1,Height @ bend is 737m. From branch 121 growing tip bent over. From branches 118 & 120 2nd order branches growing  straight up Branch 120 2nd order height = 812
38,2014-04-29,413,elevated,control,C12,53,1,960,200,270,136,,,,,,75.50,71.10,67.90,67.30,70.20,65.30,64.00,62.30,62.80,64.80,66.80,64.10,,,,,,,,,,,,,,,,,,,1,1,Height @ bend is 737m. From branch 121 growing tip bent over. From branches 118 & 120 2nd order branches growing  straight up Branch 120 2nd order height = 812. tree height est.
39,2014-05-13,427,elevated,control,C12,53,1,943,160,190,136,,,,,,77.20,72.80,69.40,69.60,72.20,67.10,66.10,64.30,64.30,66.30,68.00,66.20,61.60,59.00,55.80,50.80,49.20,50.60,45.70,44.40,35.60,35.70,30.45,27.65,,,,,,,1,1,Height @ bend is 737m.  tree height est.
40,2014-05-27,441,elevated,control,C12,53,1,938,,,,,,104.80,92.50,87.80,78.00,75.10,73.00,72.80,75.00,70.00,68.80,68.30,68.10,69.20,71.40,69.50,65.10,61.80,58.80,53.80,52.70,53.80,49.00,47.70,38.20,38.30,33.80,30.60,20.93,15.72,10.87,6.30,3.45,2.09,,,
9,2013-03-19,7,reference,control,C13,33,1,156,80,70,14,8,127,,11.75,10.45,7.60,5.45,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,To be planted - some branches have lost leaves
10,2013-04-03,22,reference,control,C13,33,1,159,80,70,14,8,,,12.95,11.65,8.45,6.20,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Planted - some branches have lost leaves
11,2013-04-16,35,reference,control,C13,33,1,163,80,70,14,6,128,,13.45,12.05,8.95,6.55,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Planted - some branches have lost leaves. New growth
12,2013-04-30,49,reference,control,C13,33,1,163,80,70,14,8,,,13.70,12.25,9.10,6.85,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
13,2013-05-14,63,reference,control,C13,33,1,165,80,70,14,8,,,14.25,12.80,9.75,7.45,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
14,2013-05-28,77,reference,control,C13,33,1,168,80,70,16,5,,,14.85,13.15,10.20,8.00,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
15,2013-06-13,93,reference,control,C13,33,1,171,80,70,13,10,,,15.35,13.60,10.90,8.55,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
16,2013-06-26,106,reference,control,C13,33,1,174,80,70,13,10,,,15.90,14.15,11.00,9.00,6.35,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
17,2013-07-10,120,reference,control,C13,33,1,178,100,70,19,11,,,16.15,14.45,11.50,9.30,6.65,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth Branchj labelling. 5 dead branches
18,2013-07-23,133,reference,control,C13,33,1,182,100,70,19,13,,,16.65,15.10,11.75,10.05,7.30,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth Branchj labelling. 5 dead branches
19,2013-08-05,146,reference,control,C13,33,1,186,100,85,21,18,,,16.75,15.10,12.35,10.45,7.80,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,New growth - pos. Fork at top
20,2013-08-20,161,reference,control,C13,33,1,196,80,85,24,19,,,17.75,16.10,13.60,11.65,8.95,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,
21,2013-09-05,177,reference,control,C13,33,1,202,100,90,25,22,,,18.90,17.05,15.05,12.70,10.25,5.55,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3 stems
22,2013-09-17,189,reference,control,C13,33,1,209,95,95,28,,,,20.05,18.25,16.10,14.05,11.70,8.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3 stems. Branch 17 is new leader
23,2013-10-01,203,reference,control,C13,33,1,216,105,95,30,,,,21.55,19.95,17.20,15.50,13.00,9.10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
24,2013-10-15,217,reference,control,C13,33,1,218,110,90,30,,,,23.07,21.15,18.60,16.55,14.00,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
25,2013-10-30,232,reference,control,C13,33,1,221,105,95,30,,,,25.05,22.95,19.90,17.80,14.95,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Gt eaten
26,2013-11-12,245,reference,control,C13,33,1,233,110,95,,,,,27.30,25.10,21.90,19.10,16.35,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,GT  (growing tip) eaten
27,2013-11-26,259,reference,control,C13,33,1,252,110,90,,,,,28.60,26.50,23.25,20.20,17.35,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Leaves eaten
28,2013-12-10,273,reference,control,C13,33,1,281,110,90,,,,,31.00,28.50,24.65,21.60,18.65,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Leaves eaten
29,2013-12-24,287,reference,control,C13,33,1,321,110,90,,,,,33.50,30.20,26.70,22.90,20.40,18.60,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Leaves eaten
30,2014-01-07,301,reference,control,C13,33,1,335.7,130,125,,,,,34.50,31.50,28.00,25.20,22.50,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,
31,2014-01-21,315,reference,control,C13,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2014-02-04,329,reference,control,C13,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2014-02-18,343,reference,,C13,33,1,330,185,145,,,,,39.00,36.10,33.10,30.90,28.80,27.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bending at top
34,2014-03-04,357,reference,,C13,33,1,361,185,165,,,,,40.30,37.30,34.40,32.50,30.80,29.10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,bending at top
35,2014-03-19,372,reference,,C13,33,1,388,220,160,,,,,42.50,39.80,36.50,34.30,33.00,31.80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Straightening
36,2014-04-01,385,reference,,C13,33,1,414,200,165,,,,,45.50,42.10,38.70,36.20,35.00,34.30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Straightening
37,2014-04-16,400,reference,,C13,33,1,442,200,170,,,,,48.10,44.10,40.30,38.00,36.50,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Straightening
38,2014-04-29,413,reference,,C13,33,1,452,215,175,,,,,50.30,46.80,42.30,39.90,38.20,37.90,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Straightening
39,2014-05-13,427,reference,,C13,33,1,470,195,180,,,,,52.50,48.30,44.00,41.10,39.20,38.80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Straightening. Saw flies
9,2013-03-19,7,reference,control,C14,67,1,133,90,90,18,,279,,12.75,11.25,7.20,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,To be planted - GT Eaten - branches have lost leaves
10,2013-04-03,22,reference,control,C14,67,1,133,90,90,20,,,,13.65,11.95,7.75,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Planted - new growing top
11,2013-04-16,35,reference,control,C14,67,1,135,90,90,20,10,240,,13.90,12.40,7.85,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Planted - new growing top
12,2013-04-30,49,reference,control,C14,67,1,138,90,90,20,11,,,14.10,12.50,8.15,4.05,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
13,2013-05-14,63,reference,control,C14,67,1,140,90,90,20,11,,,14.55,13.00,8.50,4.65,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
14,2013-05-28,77,reference,control,C14,67,1,142,90,90,21,11,,,15.10,13.55,8.90,5.30,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
15,2013-06-13,93,reference,control,C14,67,1,146,90,90,22,15,,,15.85,14.10,9.70,5.80,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
16,2013-06-26,106,reference,control,C14,67,1,147,90,90,22,15,,,16.40,14.45,10.10,6.40,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth
17,2013-07-10,120,reference,control,C14,67,1,151,80,85,25,15,,,16.95,14.90,10.80,6.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth branchj labelling. 1 dead branch
18,2013-07-23,133,reference,control,C14,67,1,152,80,85,25,,,,17.40,15.55,11.35,7.55,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2, New growth. Pos. fork @ 133cm
19,2013-08-05,146,reference,control,C14,67,1,157,80,75,25,15,,,18.25,16.20,11.95,8.10,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,New growth - pos. Fork at top
20,2013-08-20,161,reference,control,C14,67,1,166,75,70,28,15,,,19.15,17.60,13.00,9.45,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
21,2013-09-05,177,reference,control,C14,67,1,170,90,80,34,34,,,19.90,17.90,14.10,10.75,8.60,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
22,2013-09-17,189,reference,control,C14,67,1,180,100,90,37,,,,20.85,19.10,15.55,12.50,10.15,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,photo taken
23,2013-10-01,203,reference,control,C14,67,1,190,100,100,38,,,,22.80,20.90,17.70,14.35,11.95,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
24,2013-10-15,217,reference,control,C14,67,1,192,100,100,41,,,,25.20,23.15,19.65,16.10,13.55,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
25,2013-10-30,232,reference,control,C14,67,1,201,105,110,42,,,,28.15,25.45,21.55,17.45,15.05,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,ants
26,2013-11-12,245,reference,control,C14,67,1,220,110,110,,,,,31.35,28.20,24.00,19.45,16.85,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,GT eaten
27,2013-11-26,259,reference,control,C14,67,1,243,110,120,,,,,34.00,30.90,26.00,20.75,18.35,13.10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Leaves eaten
28,2013-12-10,273,reference,control,C14,67,1,266,115,145,,,,,36.10,32.90,27.90,23.00,20.25,16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Leaves eaten
29,2013-12-24,287,reference,control,C14,67,1,278,130,140,,,,,38.20,35.00,30.00,25.40,22.85,20.35,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Leaves eaten
30,2014-01-07,301,reference,control,C14,67,1,291.3,145,150,,,,,40.20,37.20,32.80,29.00,27.50,24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,
31,2014-01-21,315,reference,control,C14,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2014-02-04,329,reference,control,C14,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2014-02-18,343,reference,,C14,67,1,333,180,190,,,,,50.80,47.10,43.00,39.50,37.10,33.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bendy
34,2014-03-04,357,reference,,C14,67,1,325,210,200,,,,,53.70,50.00,45.70,42.20,39.70,35.30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Growing tip bent over
35,2014-03-19,372,reference,,C14,67,1,340,225,190,,,,,56.90,53.00,48.20,44.90,42.00,37.80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Growing tip bent over
36,2014-04-01,385,reference,,C14,67,1,378,225,210,,,,,59.80,55.60,50.50,46.90,44.00,39.20,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Growing tip bent over
37,2014-04-16,400,reference,,C14,67,1,387,230,205,,,,,62.40,57.90,52.80,49.00,46.00,40.90,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Growing tip bent over. Scale
38,2014-04-29,413,reference,,C14,67,1,390,240,225,,,,,66.20,61.10,55.00,51.10,48.00,42.80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Growing tip bent over. Scale
39,2014-05-13,427,reference,,C14,67,1,411,200,205,,,,,68.10,63.20,56.80,52.80,49.30,44.10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Growing tip bent over. Scale. Saw flies
9,2013-03-19,7,reference,control,C15,76,1,153,35,45,10,,87,,10.10,9.15,6.70,4.90,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,To be planted - GT Eaten
10,2013-04-03,22,reference,control,C15,76,1,162,35,45,10,,,,10.65,10.05,6.85,5.25,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Planted - new growing tip
11,2013-04-16,35,reference,control,C15,76,1,164,35,45,7,,65,,10.90,9.75,7.20,5.30,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Planted - new growing tip. Branches have lost leaves. Some new growth
