"Date","T_treatment","Tair"
2013-11-26,"ambient",18.6070590779723
2013-11-26,"elevated",21.6102649838227
2013-11-27,"ambient",17.7992212437573
2013-11-27,"elevated",20.7992629842349
2013-11-28,"ambient",17.8288342745857
2013-11-28,"elevated",20.8284049415161
2013-11-29,"ambient",19.5390769429404
2013-11-29,"elevated",22.5384281611091
2013-11-30,"ambient",20.0014687635578
2013-11-30,"elevated",23.0013032498712
2013-12-01,"ambient",19.5758292929647
2013-12-01,"elevated",22.5750279376056
2013-12-02,"ambient",17.9567228890392
2013-12-02,"elevated",20.9542854774796
2013-12-03,"ambient",18.2764582341046
2013-12-03,"elevated",21.2388191711468
2013-12-04,"ambient",19.2426300301545
2013-12-04,"elevated",22.1572222345379
2013-12-05,"ambient",21.3725882713776
2013-12-05,"elevated",24.2906013950605
2013-12-06,"ambient",21.3599262267707
2013-12-06,"elevated",24.312480513872
2013-12-07,"ambient",20.2799714108636
2013-12-07,"elevated",23.2808514790413
2013-12-08,"ambient",18.2261607463836
2013-12-08,"elevated",21.2254680546872
2013-12-09,"ambient",18.757768136414
2013-12-09,"elevated",21.7581258446362
2013-12-10,"ambient",21.0123179687451
2013-12-10,"elevated",24.0312424464195
2013-12-11,"ambient",23.743298509412
2013-12-11,"elevated",26.7720207314934
2013-12-12,"ambient",24.276066066595
2013-12-12,"elevated",27.3127326067824
2013-12-13,"ambient",23.418214267452
2013-12-13,"elevated",26.435027311302
2013-12-14,"ambient",22.2222322437309
2013-12-14,"elevated",25.2284470234684
2013-12-15,"ambient",21.6641338094732
2013-12-15,"elevated",24.6626230699578
2013-12-16,"ambient",21.703993510153
2013-12-16,"elevated",24.7033729372213
2013-12-17,"ambient",21.3195814348508
2013-12-17,"elevated",24.3196247095109
2013-12-18,"ambient",21.6316655460744
2013-12-18,"elevated",24.6317064760987
2013-12-19,"ambient",21.6826125380427
2013-12-19,"elevated",24.6832346786641
2013-12-20,"ambient",21.8425021302478
2013-12-20,"elevated",24.7755994081819
2013-12-21,"ambient",24.6963125135895
2013-12-21,"elevated",27.8255041904171
2013-12-22,"ambient",26.3451000239523
2013-12-22,"elevated",29.6013832666915
2013-12-23,"ambient",27.3173741249906
2013-12-23,"elevated",30.2797167822333
2013-12-24,"ambient",27.0431831847627
2013-12-24,"elevated",30.0418278183276
2013-12-25,"ambient",24.8639236172002
2013-12-25,"elevated",27.861170484525
