"Date","T_treatment","GPP","Ra","LA","GPP_SE","Ra_SE","LA_SE","height","diameter","height_SE","diameter_SE","RM","RM_SE","LM","WM","LM_SE","WM_SE","litter","litter_SE","TNC_tot","TNC_tot_SE","TNC_leaf","TNC_leaf_SE","TNC_wood","TNC_wood_SE","TNC_root","TNC_root_SE"
2013-09-17,"ambient",18.6621023088107,4.66979316989208,3.23186064302926,2.27693138030711,0.427516802550932,0.473543735102827,321.833333333333,33.3136254158236,14.5680395996777,1.18809188850799,286.644949977114,42.4416483227027,230.402573014403,284.260066079969,36.8290400127944,32.2798263305688,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-17,"elevated",26.2304387226808,6.80895362228804,5.12250740276001,2.98862441009543,0.619086608484153,0.649710814824013,383.5,38.8286808573862,19.8792186298489,2.29269468988648,386.463255161415,94.355574503619,323.945940662369,501.365009265377,49.9469529569051,66.8471749068953,0.048,0.0048,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,"ambient",17.1447392832582,5.08976840309662,3.26907197504779,2.39343027219087,0.454537830318337,0.480634377790334,323.489160039227,33.5330888062554,14.6125014479671,1.200454027203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,"elevated",23.503641828993,7.29061061746649,5.19455632287416,1.89996613015404,0.672740093838786,0.659625498774317,386.48811161683,39.0993035421921,20.1895833782234,2.310646975831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-19,"ambient",20.5321516438284,3.73965068040913,3.30646241217051,3.41062687663376,0.432844684272231,0.487859849209098,325.184210814752,33.7489440009008,14.6554103130612,1.211510804912,NA,NA,NA,NA,NA,NA,NA,NA,74.6360584111871,12.5022199863444,50.3428737412454,8.43289015599288,16.3504988548394,2.73885756993611,7.94268581510239,1.33047226041539
2013-09-19,"elevated",28.4573756825983,5.82081344877563,5.26711960997201,3.0070198743469,0.596702569037391,0.669684746541854,389.382395029858,39.3607789151105,20.4859240856914,2.32819861030694,NA,NA,NA,NA,NA,NA,NA,NA,110.291534061839,18.3960359862974,74.392899252718,12.4083363552698,24.1615331753141,4.03001406733526,11.7371016338069,1.95768556369232
2013-09-20,"ambient",18.2009078377119,3.01034522989335,3.34403188674062,3.08176302900211,0.289304370817459,0.495220794880178,326.916880446851,33.9613831871959,14.6968927584546,1.2213247185258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-20,"elevated",25.3880360141792,4.87648364415345,5.34019814263807,2.81354636666734,0.433378511445507,0.679888904007,392.187075890853,39.6134987774315,20.7686124176409,2.34535263622823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-21,"ambient",18.013924774418,3.78650211547964,3.38178033167871,2.9778516828383,0.371698619764618,0.502717821647815,328.68556372247,34.170598552577,14.7370753476422,1.22995826493519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-21,"elevated",25.9383428374209,6.12096655780555,5.41379279576087,2.73977133506388,0.52557770370958,0.690238304979787,394.906379851582,39.8578549304455,21.0380200394602,2.36211209650881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-22,"ambient",17.5496769714579,4.59757138128695,3.41970768047536,2.56650228143007,0.470722510698289,0.510351498980001,330.488655428552,34.3767822844799,14.7760846441184,1.23747394103097,NA,NA,NA,NA,NA,NA,2.41170888864,1.19261665304979,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-22,"elevated",23.9812852241149,7.75371231581942,5.48790444057413,2.39929101099852,0.672769354191275,0.700733271878767,397.544532563815,40.0942391754427,21.2945186165373,2.37848003406261,NA,NA,NA,NA,NA,NA,2.04477066656,0.662116584779448,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-23,"ambient",18.2474974775651,6.15866970843869,3.45781386718388,2.97803790613989,0.54644665381675,0.518122360296738,332.324550352043,34.5801265703409,14.814047211378,1.24393424370395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-23,"elevated",25.5859375648057,10.2121742153606,5.56253394469726,2.56862346696691,0.743082596563732,0.711374116383446,400.10575967932,40.3230433137134,21.5384798142602,2.39445949180357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-24,"ambient",15.8683660149078,6.12534429494448,3.49609882641304,2.12755346071002,0.49126853112754,0.526030904317404,334.191643279887,34.7808235975961,14.8510896129155,1.24940166984492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-24,"elevated",19.5933207283547,9.04669510136556,5.63768217217512,1.342542416849,0.673810430028143,0.722161140060449,402.594286849864,40.544659146548,21.7702752980171,2.41005351264563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-25,"ambient",18.8651834262311,7.95087450955807,3.53456249332014,3.03952344774751,0.493709270302034,0.534077596419346,336.088328999027,34.9790655536815,14.8873384122257,1.25393871634468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
